tree_id,split,selected_method,unstable_gate,total_det,B1_ratio,B2_ratio,B3_ratio,B4_ratio,B4_yrange,d_ac_bvg_B3,d_ac_cag_B2,B1_pred,B2_pred,B3_pred,B4_pred,B1_gt,B2_gt,B3_gt,B4_gt
DAMIMAS_A21B_0659,train,best_visibility_grid,True,22,2.0,2.0,3.75,1.5,0.0205,1,0,1,1,8,2,1,1,8,2
DAMIMAS_A21B_0660,train,adaptive_corrected,False,17,0.0,3.0,3.0,2.5,0.0565,0,0,0,2,5,3,0,2,5,3
DAMIMAS_A21B_0780,train,adaptive_corrected,False,7,0.0,0.0,1.0,3.0,0.1166,0,0,0,0,1,3,0,0,1,4
DAMIMAS_A21B_0781,train,adaptive_corrected,True,22,0.0,3.5,3.0,3.0,0.0242,0,0,0,4,5,4,0,4,5,3
DAMIMAS_A21B_0782,train,adaptive_corrected,False,7,0.0,0.0,3.0,1.0,0.0,0,0,0,0,3,1,0,0,3,1
DAMIMAS_A21B_0783,train,adaptive_corrected,False,23,3.0,3.0,3.25,2.0,0.1277,1,0,2,2,8,3,1,2,8,3
DAMIMAS_A21B_0784,train,class_aware_vis,True,13,0.0,3.0,3.0,1.0,0.0,0,0,0,4,4,1,0,3,4,1
DAMIMAS_A21B_0785,train,adaptive_corrected,False,14,0.0,2.0,3.3333,0.0,0.0,0,0,0,2,5,0,0,2,4,0
DAMIMAS_A21B_0786,train,adaptive_corrected,False,6,2.0,2.0,2.0,0.0,0.0,0,0,1,1,1,0,1,1,1,0
DAMIMAS_A21B_0787,train,adaptive_corrected,False,12,0.0,2.5,3.5,0.0,0.0,0,0,0,3,4,0,0,3,4,0
DAMIMAS_A21B_0788,train,adaptive_corrected,False,21,0.0,2.0,3.5,2.5,0.0966,0,0,0,1,8,3,0,1,7,3
DAMIMAS_A21B_0789,train,adaptive_corrected,True,26,2.0,2.6667,2.3333,3.5,0.1061,0,0,2,5,4,4,2,5,4,5
DAMIMAS_A21B_0790,train,adaptive_corrected,False,15,2.0,0.0,2.75,0.0,0.0,0,0,2,0,6,0,2,0,6,0
DAMIMAS_A21B_0791,train,adaptive_corrected,False,9,0.0,2.0,3.5,0.0,0.0,0,0,0,1,4,0,0,1,4,0
DAMIMAS_A21B_0792,train,adaptive_corrected,False,22,0.0,3.0,3.5,1.0,0.0259,0,-1,0,3,8,1,0,3,7,2
DAMIMAS_A21B_0794,train,adaptive_corrected,False,20,0.0,4.0,3.2,0.0,0.0,0,0,0,2,9,0,0,2,9,0
DAMIMAS_A21B_0795,train,adaptive_corrected,False,8,2.0,2.0,4.0,0.0,0.0,0,0,1,1,2,0,1,1,3,0
DAMIMAS_A21B_0796,train,adaptive_corrected,False,13,0.0,0.0,3.6667,2.0,0.0229,0,0,0,0,6,1,0,0,5,1
DAMIMAS_A21B_0797,train,class_aware_vis,True,13,2.0,2.3333,2.0,0.0,0.0,0,0,1,4,3,0,1,4,2,0
DAMIMAS_A21B_0798,train,adaptive_corrected,False,14,2.0,2.5,2.3333,0.0,0.0,0,0,1,3,4,0,1,2,4,0
DAMIMAS_A21B_0799,train,adaptive_corrected,False,15,0.0,0.0,3.3333,2.5,0.074,0,0,0,0,5,3,0,0,5,3
